Date,Plot,Side,Crop,Rotation,Herbicide,Corn_weed_management,id,Full bag weight,Empty bag + tag,Nseed,Biomass,Stem less panicle,Chaffed seeds weight,clean seed weight,Whole
10-Aug,25,W,oat,3-year,low,low,19,3.3992,1.5954,897,1.8038,,,0.1603,Y
17-May,33,E,oat,3-year,conv,conv,1,1.6916,1.5582,45,0.1334,,,0.0054,Y
20-May,33,E,oat,3-year,conv,conv,1,2.5727,1.866,390,0.7067,,,0.0755,Y
3-Dec,33,E,oat,3-year,conv,conv,2,24.5,19,,5.5,3.4,1.9,,Y
16-May,33,E,oat,3-year,conv,conv,22,22.1,20,,2.1,,,,Y
20-Jul,33,E,oat,3-year,conv,conv,2,2.0515,1.7101,110,0.3414,,,0.0151,Y
4-Dec,33,E,oat,3-year,conv,conv,4,26.8,20.4,,6.4,3.1,2.6,,Y
7-Aug,33,E,oat,3-year,conv,conv,7,3.2793,1.6886,1513,1.5907,,,0.2004,Y
17-May,33,E,oat,3-year,conv,conv,9,1.646,1.3927,90,0.2533,,,0.0117,Y
7-Aug,33,W,oat,3-year,low,low,1,3.8831,1.6481,1422,2.235,,,,Y
21-May,33,W,oat,3-year,low,low,2,1.6661,1.3805,271,0.2856,,,0.0483,Y
28-May,33,W,oat,3-year,low,low,4,2.5747,1.6008,362,0.9739,,,0.067,Y
21-May,33,W,oat,3-year,low,low,6,2.0909,1.6105,208,0.4804,,,0.0434,Y
5-Jun,33,W,oat,3-year,low,low,8,1.9448,1.6469,254,0.2979,,,0.0422,Y
20-May,33,W,oat,3-year,low,low,9,1.5998,1.3993,137,0.2005,,,0.018,Y
20-May,33,W,oat,3-year,low,low,91,1.5931,1.4445,219,0.1486,,,0.0339,Y
7-Aug,39,E,oat,4-year,conv,conv,1,3.2056,2.0179,142,1.1877,,,0.0387,Y
7-Dec,39,E,oat,4-year,conv,conv,4,35.2,20.3,,14.9,11.09,5.4,,Y
16-May,39,E,oat,4-year,conv,conv,9,23.1,21.2,,1.9,,,,Y
20-Jul,39,E,oat,4-year,conv,conv,12,2.7718,1.7825,680,0.9893,,,0.1397,Y
16-May,39,E,oat,4-year,conv,conv,14,26.9,21.5,,5.4,,,,Y
20-Jul,39,E,oat,4-year,conv,conv,18,4.5552,1.6381,,2.9171,,,,Y
7-Aug,39,E,oat,4-year,conv,conv,19,4.482,2.047,1808,2.435,,,0.4342,Y
21-May,39,E,oat,4-year,conv,conv,24,1.9046,1.4572,636,0.4474,,,0.1016,Y
16-May,39,W,oat,4-year,low,low,3,25.2,21.3,,3.9,,,,Y
6-Aug,39,W,oat,4-year,low,low,6,3.1791,1.6501,,1.529,,,,Y
20-Jul,39,W,oat,4-year,low,low,7,3.2696,1.7133,647,1.5563,,,0.1541,Y
20-Jul,39,W,oat,4-year,low,low,8,3.6272,1.6869,418,1.9403,,,0.0905,Y
16-May,39,W,oat,4-year,low,low,10,28.3,21,,7.3,,,,Y
16-May,39,W,oat,4-year,low,low,12,29.8,27.8,,2,,,,Y
16-May,39,W,oat,4-year,low,low,13,27.1,21.3,,5.8,,,,Y
16-May,41,E,oat,4-year,conv,conv,1,28,21,,7,,,,Y
21-May,41,E,oat,4-year,conv,conv,2,2.1577,1.6083,179,0.5494,,,0.0428,Y
20-Jul,41,E,oat,4-year,conv,conv,3,2.5563,1.8376,31,0.7187,,,0.0062,Y
10-Dec,41,E,oat,4-year,conv,conv,4,2.5706,1.9152,205,0.6554,.,.,0.0269,Y
10-Dec,41,E,oat,4-year,conv,conv,8,1.7788,1.7206,62,0.0582,.,.,0.0096,Y
16-May,41,E,oat,4-year,conv,conv,13,22.8,19.7,2158,3.1,,,0.3605,Y
24-Apr,41,E,oat,4-year,conv,conv,14,1.8496,1.7237,66,0.1259,,,0.0096,Y
20-Jul,41,W,oat,4-year,low,low,2,2.1092,1.7767,127,0.3325,,,0.0338,Y
16-May,41,W,oat,4-year,low,low,13,24.4,20.3,693,4.1,,,0.1247,Y
20-Jul,41,W,oat,4-year,low,low,3,2.3627,1.5312,730,0.8315,,,0.1012,Y
20-May,41,W,oat,4-year,low,low,4,1.8667,1.7477,179,0.119,,,0.0373,Y
10-Jun,41,W,oat,4-year,low,low,6,2.3195,1.6706,591,0.6489,,,0.1203,Y
7-Aug,41,W,oat,4-year,low,low,9,3.0171,1.6563,563,1.3608,,,0.1501,Y
16-May,41,W,oat,4-year,low,low,14,25.7,20.8,,4.9,,,,Y
20-Jul,42,E,oat,3-year,low,low,1,2.9761,1.7335,151,1.2426,,,0.0362,Y
7-Aug,42,E,oat,3-year,low,low,21,2.1711,1.6039,250,0.5672,,,0.0514,Y
21-May,42,E,oat,3-year,low,low,2,1.829,1.6451,152,0.1839,,,0.0273,Y
21-May,42,E,oat,3-year,low,low,3,2.7565,1.7871,26,0.9694,,,0.0049,Y
16-May,42,E,oat,3-year,low,low,4,22.2,20.1,,2.1,,,,Y
21-May,42,E,oat,3-year,low,low,5,1.8274,1.7761,62,0.0513,,,0.0104,Y
20-Jul,42,E,oat,3-year,low,low,15,2.7043,1.6622,277,1.0421,,,0.0539,Y
24-May,42,E,oat,3-year,low,low,31,1.8602,1.5903,123,0.2699,,,0.212,Y
8-Aug,42,W,oat,3-year,conv,conv,1,1.766,1.6537,0,0.1123,,,0,Y
17-May,42,W,oat,3-year,conv,conv,2,2.2508,1.7175,185,0.5333,,,0.03,Y
16-May,42,W,oat,3-year,conv,conv,4,23.7,20.8,,2.9,,,,Y
16-May,42,W,oat,3-year,conv,conv,5,23.6,21.1,,2.5,,,,Y
16-May,42,W,oat,3-year,conv,conv,6,22.4,19.6,,2.8,,,,Y
4-Feb,42,W,oat,3-year,conv,conv,9,2.1586,1.702,89,0.4566,,,0.0178,Y
7-Aug,42,W,oat,3-year,conv,conv,10,4.4601,1.7024,125,2.7577,,,0.0232,Y
20-May,42,W,oat,3-year,conv,conv,61,1.974,1.7472,21,0.2268,,,0.0025,Y
11-Dec,11,E,soybean,3-year,conv,low,40,1289.6,152.6,,1137,,371,,Y
4-Feb,11,E,soybean,3-year,conv,low,57,29.2,21.9,,7.3,,,,Y
11-Dec,11,E,soybean,3-year,conv,low,62,4.2545,3.7562,0,0.4983,,,0,Y
16-Jan,11,E,soybean,3-year,conv,low,63,249.4,70.1,,179.3,,,,Y
11-Dec,11,W,soybean,3-year,conv,conv,2,216.1,149.4,,66.7,,20.7,,Y
11-Dec,11,W,soybean,3-year,conv,conv,4,444.1,156,,288.1,,192.17,,Y
13-Nov,11,W,soybean,3-year,conv,conv,5,68.1,30.1,,38,13.8,26.1,,Y
16-Jan,11,W,soybean,3-year,conv,conv,6,52.7,30.8,,21.9,,,,Y
11-Dec,11,W,soybean,3-year,conv,conv,8,361.2,149.8,,211.4,,133.6,,Y
11-Dec,11,W,soybean,3-year,conv,conv,11,379.7,156.8,,222.9,,124.7,,Y
11-Dec,11,W,soybean,3-year,conv,conv,17,1498.6,306.2,,1192.4,,489.7,,Y
16-Jan,11,W,soybean,3-year,conv,conv,19,131.6,70.5,,61.1,,,,Y
14-Nov,11,W,soybean,3-year,conv,conv,33,623.9,153.3,,470.6,168.5,340.9,,Y
4-Jan,11,W,soybean,3-year,conv,conv,35,1504.2,157,,1347.2,,616.4,,Y
14-Nov,11,W,soybean,3-year,conv,conv,38,1133.1,304.1,,829,234.6,661.1,,Y
11-Dec,11,W,soybean,3-year,conv,conv,39,1592.3,155.9,,1436.4,,650.3,,Y
16-Jan,11,W,soybean,3-year,conv,conv,41,34.3,21.2,,13.1,,,,Y
11-Dec,11,W,soybean,3-year,conv,conv,42,543.8,151.9,,391.9,,274.7,,Y
11-Dec,11,W,soybean,3-year,conv,conv,50,746.8,155.6,,591.2,,407.9,,Y
16-Jan,11,W,soybean,3-year,conv,conv,58,139.5,70,,69.5,,,,Y
11-Dec,11,W,soybean,3-year,conv,conv,60,507.7,151.9,,355.8,,196,,Y
8-Feb,11,W,soybean,3-year,conv,conv,61,62.1,27.2,,34.9,,,,Y
8-Feb,11,W,soybean,3-year,conv,conv,81,22.4,19.8,,2.6,,,,Y
13-Nov,11,W ,soybean,3-year,conv,conv,49,148.2,71.3,,76.9,31.8,40.9,,Y
16-Jan,14,E,soybean,4-year,conv,conv,6,7.1,.,,#VALUE!,,,,Y
4-Jan,14,E,soybean,4-year,conv,conv,9,8.5,4.8,,3.7,,,,Y
11-Feb,14,E,soybean,4-year,conv,conv,26,35.3,.,,#VALUE!,,,,Y
18-Dec,14,E,soybean,4-year,conv,conv,13,59.1,28.8,,30.3,,18.7,,Y
18-Dec,14,E,soybean,4-year,conv,conv,24,52.8,28.6,,24.2,,17.2,,Y
20-Jul,14,W,soybean,4-year,conv,low,7,6.688,4.1537,,2.5343,,,,Y
18-Dec,14,W,soybean,4-year,conv,low,9,34.1,29.1,,5,,14.4,,Y
4-Jan,19,E,soybean,2-year,conv,conv,22,9.3,4.3,878,5,,,,Y
18-Dec,19,E,soybean,2-year,conv,conv,53,33.7,28.1,,5.6,,14.4,,Y
4-Feb,19,W,soybean,2-year,conv,low,3,10.5,4.2,,6.3,,,,Y
4-Feb,19,W,soybean,2-year,conv,low,17,43.6,29.2,,14.4,,,,Y
4-Feb,19,W,soybean,2-year,conv,low,21,50.2,28,,22.2,,,,Y
4-Feb,19,W,soybean,2-year,conv,low,44,6.4,4.4,,2,,,,Y
16-Jan,19,W,soybean,2-year,conv,low,40,60.9,28.8,,32.1,,,,Y
4-Jan,23,E,soybean,3-year,conv,low,2,122,73.3,,48.7,,,,Y
13-Nov,23,E,soybean,3-year,conv,low,27,38.4,28.9,,9.5,.,.,,Y
4-Feb,23,E,soybean,3-year,conv,low,39,65.6,28.6,,37,,,,Y
14-Nov,23,E,soybean,3-year,conv,low,61,34.2,28.5,,5.7,2.9,2.5,,Y
4-Jan,23,E,soybean,3-year,conv,low,65,128.2,73.6,,54.6,,,,Y
11-Dec,23,W,soybean,3-year,conv,conv,11,195.6,78.4,,117.2,,,,Y
4-Feb,23,W,soybean,3-year,conv,conv,13,82.2,28.7,,53.5,,,,Y
8-Feb,27,E,soybean,2-year,conv,low,19,62.4,21.7,,40.7,,,,Y
8-Feb,27,E,soybean,2-year,conv,low,25,4.5,3.8,758,0.7,,,0.1518,Y
20-Jul,27,E,soybean,2-year,conv,low,33,4.7039,3.6722,,1.0317,,,,Y
8-Feb,27,E,soybean,2-year,conv,low,86,52.8,28.6,,24.2,,,,Y
8-Feb,27,E,soybean,2-year,conv,low,94,7.7,4,,3.7,,,,Y
8-Feb,27,W,soybean,2-year,conv,conv,27,41.7,28.8,,12.9,,,,Y
8-Feb,27,W,soybean,2-year,conv,conv,36,66.5,21.8,,44.7,,,,Y
8-Feb,27,W,soybean,2-year,conv,conv,75,44.9,21.7,,23.2,,,,Y
15-Nov,27,W,soybean,2-year,conv,conv,22,211.3,150.7,,60.6,25.6,51,,Y
7-Aug,27,W,soybean,2-year,conv,conv,102,5.1756,3.9676,669,1.208,,,0.2037,Y
6-Aug,27,W,soybean,2-year,conv,conv,38,8.3251,3.8702,,4.4549,,,,Y
7-Aug,28,E,corn,2-year,low,low,4,7.6104,4.5272,2255,3.0832,,,0.3919,Y
16-May,29,E,soybean,4-year,conv,low,17,48.5,29.5,,19,,,,Y
16-Jan,29,E,soybean,4-year,conv,low,11,42,29.4,,12.6,,,,Y
16-Jan,29,E,soybean,4-year,conv,low,13,50.2,29.1,,21.1,,,,Y
16-Jan,29,E,soybean,4-year,conv,low,21,58,29.2,,28.8,,,,Y
16-Jan,29,E,soybean,4-year,conv,low,69,36.1,28.3,,7.8,,,,Y
16-Jan,29,E,soybean,4-year,conv,low,100,29.3,28.3,,1,,,,Y
16-Jan,29,E ,soybean,4-year,conv,low,64,35.9,28.1,,7.8,,,,Y
11-Dec,29,W,soybean,4-year,conv,conv,4,298.5,151.5,,147,,146.4,,Y
11-Dec,29,W,soybean,4-year,conv,conv,49,850.4,151.6,,698.8,,117.4,,Y
4-Feb,29,W,soybean,4-year,conv,conv,55,128.3,41.2,,87.1,,,,Y
15-Mar,29,W,soybean,4-year,conv,conv,56,8.9751,4.2041,3310,4.771,,,0.6039,Y
4-Feb,29,W,soybean,4-year,conv,conv,80,36.2,21.6,,14.6,,,,Y
4-Feb,29,W,soybean,4-year,conv,conv,100,6.4,4.2,,2.2,,,,Y
4-Feb,29,W,soybean,4-year,conv,conv,101,27.5,22.5,,5,,,,Y
16-Jan,29,W,soybean,4-year,conv,conv,1,36.2,28.8,,7.4,,,,Y
16-Jan,29,W,soybean,4-year,conv,conv,16,34,28.5,,5.5,,,,Y
20-Jul,32,E,soybean,4-year,conv,conv,1,5.1535,3.8065,795,1.347,,,0.2796,Y
11-Dec,32,E,soybean,4-year,conv,conv,28,331.3,151.5,,179.8,,97,,Y
4-Feb,32,E,soybean,4-year,conv,conv,15,33.7,28.6,,5.1,,,,Y
8-Feb,32,E,soybean,4-year,conv,conv,17,27.2,21.4,,5.8,,,,Y
11-Dec,32,E,soybean,4-year,conv,conv,21,209.2,142.2,,67,,48.6,,Y
4-Feb,32,E,soybean,4-year,conv,conv,22,28.5,24.8,,3.7,,,,Y
4-Feb,32,E,soybean,4-year,conv,conv,12,63,23.4,,39.6,,,,Y
11-Dec,32,E,soybean,4-year,conv,conv,100,763.2,151.8,,611.4,,325.9,,Y
4-Feb,32,E,soybean,4-year,conv,conv,6,27.6,20.9,,6.7,,,,Y
11-Dec,32,E,soybean,4-year,conv,conv,101,427.2,144.7,,282.5,,208.5,,Y
24-Apr,32,E,soybean,4-year,conv,conv,33,32.4,22.7,,9.7,,,,Y
8-Feb,32,W,soybean,4-year,conv,low,6,29.2,22.1,,7.1,,,,Y
18-Dec,32,W,soybean,4-year,conv,low,14,215.7,143.6,,72.1,,27.6,,Y
4-Feb,35,E,soybean,2-year,conv,conv,3,54.4,28.8,,25.6,,,,Y
4-Feb,35,E,soybean,2-year,conv,conv,7,62.5,29.6,,32.9,,,,Y
8-Feb,35,E,soybean,2-year,conv,conv,16,29.8,22,,7.8,,,,Y
4-Feb,35,E,soybean,2-year,conv,conv,11,48.7,28.9,,19.8,,,,Y
8-Feb,35,E,soybean,2-year,conv,conv,17,34.1,28.6,,5.5,,,,Y
16-Jan,35,E,soybean,2-year,conv,conv,18,45.5,27.9,,17.6,,,,Y
4-Feb,35,W,soybean,2-year,conv,low,3,51.8,28.8,,23,,,,Y
4-Feb,35,W,soybean,2-year,conv,low,24,95.3,29,,66.3,,,,Y
8-Feb,35,W,soybean,2-year,conv,low,27,53.5,29.7,,23.8,,,,Y
4-Feb,35,W,soybean,2-year,conv,low,100,31.5,28.6,,2.9,,,,Y
4-Feb,35,W,soybean,2-year,conv,low,101,77.4,28.9,,48.5,,,,Y
24-Apr,38,W,soybean,3-year,conv,conv,10,38.1,22.6,,15.5,,,,Y
8-Feb,38,W,soybean,3-year,conv,conv,19,56,28.3,,27.7,,,,Y
16-Jan,38,W,soybean,3-year,conv,conv,23,44.3,28.8,,15.5,,,,Y
11-Feb,38,W,soybean,3-year,conv,conv,89,2.6462,1.7166,.,0.9296,,,0.02614,Y
12-Dec,38,W,soybean,3-year,conv,conv,99,191.2,72.6,,118.6,,,,Y
8-Feb,45,E,soybean,2-year,conv,conv,14,60.1,29,,31.1,,,,Y
8-Feb,45,E,soybean,2-year,conv,conv,34,79.5,21.8,,57.7,,,,Y
16-Jan,45,W,soybean,2-year,conv,low,30,185.2,72.1,,113.1,,,,Y
8-Feb,48,E,soybean,3-year,conv,conv,71,47.9,28.6,,19.3,,,,Y
11-Dec,48,W,soybean,3-year,conv,low,7,744.9,153.7,,591.2,,,,Y
4-Jan,48,W,soybean,3-year,conv,low,9,294.7,71.6,,223.1,,,,Y
11-Dec,48,W,soybean,3-year,conv,low,59,618.5,153.3,,465.2,,332.5,,Y
26-Nov,48,W,soybean,3-year,conv,low,80,39.8,28.5,,11.3,4.7,6.3,,Y
16-Jan,48,W,soybean,3-year,conv,low,3,35.6,28.5,,7.1,,,,Y
18-Dec,48,W,soybean,3-year,conv,low,5,203.8,71,,132.8,,,,Y
16-Jan,48,W,soybean,3-year,conv,low,6,49,28.3,,20.7,,,,Y
16-Jan,48,W,soybean,3-year,conv,low,37,94.3,28.7,,65.6,,,,Y
16-Jan,48,W,soybean,3-year,conv,low,9,100.1,28.9,,71.2,,,,Y
4-Jan,49,E,soybean,4-year,conv,conv,38,187.2,73.5,,113.7,,,,Y
16-Jan,49,E,soybean,4-year,conv,conv,41,30.5,28,,2.5,,,,Y
16-Jan,49,W,soybean,4-year,conv,low,10,33.5,28.1,,5.4,,,,Y
8-Feb,49,W,soybean,4-year,conv,low,20,39,29.2,,9.8,,,,Y
27-Nov,49,W,soybean,4-year,conv,low,40,125.7,45.5,,80.2,56.9,21.8,,Y
